IDIV - Carteira do Dia 22/08/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;73.645.365;0,346;
AESB3;AES BRASIL;ON  ES  NM;353.221.669;0,874;
ALUP11;ALUPAR;UNT     N2;152.591.968;1,096;
B3SA3;B3;ON      NM;1.236.848.086;3,833;
BRSR6;BANRISUL;PNB     N1;220.673.102;0,607;
BBSE3;BBSEGURIDADE;ON  ED  NM;731.774.722;5,166;
BBDC3;BRADESCO;ON      N1;1.029.840.585;4,135;
BBDC4;BRADESCO;PN      N1;791.674.286;3,845;
BRAP4;BRADESPAR;PN      N1;273.915.541;1,546;
BBAS3;BRASIL;ON      NM;486.657.262;4,948;
AGRO3;BRASILAGRO;ON      NM;56.407.718;0,373;
CMIG3;CEMIG;ON      N1;393.078.610;1,874;
CMIG4;CEMIG;PN      N1;1.546.150.913;4,910;
CSMG3;COPASA;ON      NM;205.319.935;0,683;
CPLE3;COPEL;ON      N2;348.410.330;0,566;
CPLE6;COPEL;PNB     N2;1.703.366.264;3,000;
CPFE3;CPFL ENERGIA;ON      NM;204.544.152;1,834;
CYRE3;CYRELA REALT;ON      NM;306.827.642;1,074;
DIRR3;DIRECIONAL;ON      NM;82.134.761;0,243;
ELET3;ELETROBRAS;ON      N1;1.073.974.931;12,814;
ELET6;ELETROBRAS;PNB     N1;264.746.838;3,281;
ENAT3;ENAUTA PART;ON      NM;83.497.664;0,324;
ENBR3;ENERGIAS BR;ON      NM;251.611.515;1,477;
EGIE3;ENGIE BRASIL;ON  ED  NM;278.072.265;2,879;
FESA4;FERBASA;PN      N1;43.762.791;0,544;
GRND3;GRENDENE;ON  EDJ NM;290.972.250;0,530;
MYPK3;IOCHP-MAXION;ON      NM;149.879.853;0,567;
ITSA4;ITAUSA;PN  EJ  N1;1.917.844.915;4,465;
JHSF3;JHSF PART;ON      NM;333.310.112;0,531;
LEVE3;METAL LEVE;ON      NM;41.939.556;0,255;
BEEF3;MINERVA;ON  ED  NM;283.729.628;1,046;
PETR3;PETROBRAS;ON  EDJ N2;490.096.502;4,286;
PSSA3;PORTO SEGURO;ON      NM;198.150.305;1,018;
QUAL3;QUALICORP;ON      NM;301.835.095;0,781;
RAPT4;RANDON PART;PN      N1;193.535.616;0,508;
ROMI3;ROMI;ON      NM;40.610.459;0,130;
SANB11;SANTANDER BR;UNT EJ;395.183.807;2,938;
CSNA3;SID NACIONAL;ON;699.926.167;2,665;
SYNE3;SYN PROP TEC;ON      NM;65.002.740;0,072;
TAEE11;TAESA;UNT EDJ N2;238.141.211;2,448;
TGMA3;TEGMA;ON      NM;34.867.240;0,140;
VIVT3;TELEF BRASIL;ON;468.875.639;5,153;
TRPL4;TRAN PAULIST;PN      N1;431.241.017;2,611;
TRIS3;TRISUL;ON      NM;90.678.553;0,104;
UNIP6;UNIPAR;PNB ED;53.784.760;1,213;
VALE3;VALE;ON  EDJ NM;367.007.144;6,087;
WIZS3;WIZ S.A.;ON      NM;84.484.568;0,180;
Quantidade Teórica Total;;;19.363.846.052;100,000
Redutor;;;55.775.934,45230571
